202,f,old,0
66,o,old,0
142,f,new,NA
72,f,old,1
130,o,old,0
101,f,old,1
20,o,old,1
73,f,old,0
25,o,old,0
165,f,old,0
265,o,new,NA
229,o,old,1
195,o,new,NA
13,f,new,NA
192,f,old,1
110,f,old,0
283,o,old,1
162,o,old,1
255,f,old,0
48,o,new,NA
50,f,new,NA
193,f,old,1
173,o,new,NA
35,o,old,1
261,f,old,0
34,o,new,NA
9,o,new,NA
74,o,old,0
104,o,old,1
178,f,old,1
141,f,old,0
237,o,new,NA
120,o,old,0
75,f,old,1
230,f,old,0
186,f,new,NA
169,o,new,NA
135,f,new,NA
166,f,new,NA
203,o,new,NA
46,f,new,NA
143,o,old,1
142,o,old,0
45,f,old,1
223,f,new,NA
29,o,old,1
250,f,old,0
198,o,old,1
221,f,new,NA
224,f,new,NA
202,o,new,NA
153,f,old,0
188,o,old,0
199,o,old,0
224,o,new,NA
159,f,old,1
3,o,old,0
204,f,new,NA
289,f,new,NA
263,o,new,NA
51,o,old,1
125,o,new,NA
139,f,old,0
1,f,old,1
252,o,new,NA
79,f,old,0
57,f,old,1
62,o,new,NA
215,f,old,1
83,f,new,NA
171,o,new,NA
107,f,old,1
256,f,old,1
70,o,old,1
86,f,old,0
99,f,old,1
8,f,new,NA
254,f,old,0
121,o,old,1
52,f,old,1
71,f,old,1
14,o,old,1
272,o,old,0
182,f,old,1
207,o,new,NA
180,f,new,NA
159,o,new,NA
214,f,old,0
78,o,new,NA
210,o,new,NA
25,f,new,NA
161,f,old,1
290,f,old,0
276,f,new,NA
100,f,old,1
53,o,old,1
87,o,old,0
77,o,old,1
92,f,old,1
82,o,new,NA
158,o,old,1
84,o,old,0
138,f,new,NA
179,f,old,0
63,f,old,0
40,f,old,0
76,f,old,0
267,o,new,NA
65,o,new,NA
17,o,old,1
196,o,old,1
197,f,old,1
57,o,new,NA
135,o,old,1
87,f,old,0
187,f,old,0
4,f,old,1
172,o,new,NA
238,f,new,NA
1,o,old,0
0,o,new,NA
43,f,old,1
150,f,old,1
242,f,old,0
89,f,new,NA
258,o,new,NA
68,o,old,0
215,o,old,1
211,f,new,NA
251,o,old,1
185,f,old,0
149,f,new,NA
257,f,old,0
217,f,old,1
91,f,old,0
230,o,old,1
102,o,old,0
216,f,new,NA
103,o,old,0
117,f,old,0
11,o,new,NA
271,f,old,1
123,o,old,0
168,f,old,1
189,f,old,0
9,f,old,0
79,o,new,NA
270,o,old,1
212,o,old,1
26,o,old,0
53,f,old,0
97,o,new,NA
191,o,old,1
167,o,new,NA
109,o,old,1
268,f,old,1
278,o,old,1
244,f,old,0
153,o,old,1
268,o,old,0
162,f,old,1
283,f,old,0
236,f,old,0
187,o,old,1
56,o,new,NA
56,f,old,0
45,o,new,NA
226,o,old,0
185,o,old,1
108,o,old,0
49,o,old,0
147,o,old,0
115,f,old,0
44,f,old,1
124,f,old,0
36,f,old,1
282,f,new,NA
10,o,old,1
46,o,new,NA
237,f,old,1
133,o,new,NA
124,o,new,NA
248,f,old,0
269,f,new,NA
94,f,old,0
273,f,old,0
148,o,new,NA
18,o,old,0
84,f,old,1
69,f,old,0
168,o,old,0
228,o,old,0
256,o,old,1
235,f,new,NA
246,f,old,0
218,o,old,0
204,o,old,1
188,f,old,1
214,o,old,0
19,o,new,NA
266,f,new,NA
189,o,old,0
11,f,old,0
38,o,old,1
288,f,old,0
203,f,old,1
69,o,old,0
264,f,new,NA
160,f,new,NA
105,o,old,0
52,o,new,NA
112,o,old,0
78,f,new,NA
131,f,new,NA
102,f,old,0
190,f,new,NA
95,o,old,0
37,f,old,0
164,f,old,0
68,f,old,0
23,o,new,NA
245,o,new,NA
281,o,old,1
81,f,old,1
195,f,new,NA
80,f,old,1
31,o,old,0
21,o,old,0
285,f,old,1
41,o,new,NA
115,o,old,1
223,o,new,NA
107,o,old,1
89,o,old,0
201,o,new,NA
243,f,old,0
31,f,old,1
19,f,old,1
193,o,old,1
92,o,old,1
62,f,old,0
182,o,old,0
259,o,new,NA
120,f,new,NA
70,f,new,NA
111,f,new,NA
156,f,old,1
66,f,new,NA
73,o,old,0
277,f,new,NA
220,f,new,NA
138,o,old,1
279,o,old,1
213,o,old,1
192,o,new,NA
286,f,old,1
88,f,old,0
26,f,old,0
71,o,new,NA
292,f,old,1
172,f,new,NA
152,o,old,0
88,o,old,1
183,f,old,0
10,f,new,NA
6,o,old,0
28,f,old,1
119,f,new,NA
39,o,new,NA
90,o,new,NA
131,o,new,NA
81,o,old,0
128,o,old,1
42,f,new,NA
232,f,new,NA
240,f,old,0
106,o,old,1
33,f,new,NA
127,f,old,1
157,f,new,NA
260,f,old,1
18,f,old,1
164,o,old,1
6,f,old,1
293,o,old,1
163,o,new,NA
7,f,new,NA
151,o,new,NA
83,o,old,0
280,f,new,NA
132,o,old,0
108,f,new,NA
85,o,old,0
160,o,old,0
61,o,old,0
247,o,old,0
49,f,new,NA
149,o,old,0
173,f,new,NA
220,o,old,0
136,f,old,1
82,f,new,NA
249,o,old,1
290,o,old,1
60,o,new,NA
12,f,old,1
208,f,old,1
226,f,old,0
4,o,old,0
32,f,old,1
143,f,new,NA
222,o,old,1
129,f,new,NA
177,f,new,NA
47,f,old,1
217,o,old,1
271,o,old,1
101,o,new,NA
59,f,old,1
112,f,new,NA
50,o,old,0
15,o,old,0
231,f,old,0
201,f,new,NA
98,f,old,1
77,f,new,NA
240,o,old,1
289,o,new,NA
211,o,old,0
74,f,old,1
281,f,old,1
109,f,old,1
96,o,old,0
257,o,old,0
209,f,new,NA
95,f,new,NA
3,f,old,0
265,f,old,1
144,o,old,1
86,o,old,1
216,o,new,NA
100,o,old,0
40,o,old,1
144,f,old,0
139,o,new,NA
176,f,old,1
12,o,old,0
221,o,old,1
270,f,old,1
27,f,new,NA
150,o,new,NA
262,o,old,1
42,o,old,0
219,o,new,NA
24,f,old,0
170,f,old,0
64,o,old,0
181,o,old,0
171,f,old,1
34,f,old,1
7,o,old,0
0,f,new,NA
2,o,new,NA
38,f,new,NA
176,o,new,NA
209,o,new,NA
32,o,old,1
94,o,new,NA
76,o,new,NA
105,f,old,0
222,f,new,NA
234,f,old,0
133,f,old,1
243,o,old,0
267,f,old,1
137,f,old,0
59,o,old,1
23,f,old,1
246,o,old,1
197,o,old,1
146,o,old,1
166,o,old,0
200,f,old,1
154,f,new,NA
282,o,new,NA
167,f,old,0
122,o,new,NA
64,f,new,NA
210,f,old,0
292,o,new,NA
190,o,new,NA
28,o,old,0
63,o,new,NA
234,o,new,NA
121,f,new,NA
157,o,old,1
170,o,old,1
58,o,old,0
285,o,old,1
20,f,new,NA
238,o,old,0
54,f,old,0
145,o,old,1
61,f,old,0
293,f,old,1
113,f,new,NA
67,o,old,1
254,o,old,0
269,o,old,1
180,o,new,NA
239,f,new,NA
178,o,old,0
127,o,old,0
47,o,old,1
274,f,old,0
278,f,old,0
205,o,new,NA
2,f,old,0
207,f,old,1
165,o,old,0
155,f,new,NA
274,o,new,NA
5,f,old,1
206,o,old,1
258,f,old,0
30,f,new,NA
80,o,old,0
13,o,old,1
118,f,old,0
196,f,old,1
241,f,old,1
103,f,new,NA
48,f,old,1
163,f,old,0
194,o,old,1
179,o,new,NA
140,o,old,0
206,f,old,0
30,o,old,0
146,f,new,NA
85,f,old,0
156,o,new,NA
184,o,old,0
181,f,old,0
158,f,old,1
36,o,old,0
233,f,new,NA
126,o,new,NA
54,o,old,1
33,o,old,0
72,o,new,NA
151,f,old,1
174,o,old,0
175,f,new,NA
134,f,old,1
227,o,old,0
106,f,old,0
291,f,old,1
132,f,old,1
116,o,old,1
242,o,old,1
90,f,new,NA
65,f,old,1
58,f,old,0
21,f,new,NA
126,f,old,0
140,f,new,NA
231,o,old,1
241,o,old,1
284,o,new,NA
288,o,new,NA
213,f,old,1
98,o,old,0
35,f,old,0
37,o,old,0
43,o,old,1
145,f,old,0
55,o,new,NA
232,o,old,1
218,f,new,NA
55,f,old,0
264,o,old,0
114,f,old,0
137,o,old,0
93,f,old,1
27,o,new,NA
125,f,old,0
276,o,old,1
169,f,old,0
16,f,old,1
110,o,old,0
29,f,new,NA
96,f,old,1
194,f,new,NA
291,o,new,NA
235,o,old,0
245,f,old,1
205,f,new,NA
219,f,old,1
261,o,old,1
277,o,new,NA
253,o,new,NA
99,o,old,1
244,o,old,1
44,o,old,1
284,f,new,NA
39,f,old,0
16,o,old,0
